iter	AUC	Logloss
69	0.854209886	0.4035923614
70	0.8542063225	0.4035532647
71	0.8542092295	0.4035478616
72	0.8542893148	0.4034414214
73	0.8545441996	0.403141411
74	0.8547066208	0.4029026117
75	0.8548247793	0.4027433642
76	0.8549632874	0.4024891118
77	0.8550432789	0.4023330715
78	0.855065035	0.4022625443
79	0.8551385559	0.4021755176
80	0.8551462456	0.4021031103
81	0.8552814715	0.4019392035
82	0.8553963479	0.4017345186
83	0.8554324519	0.4016915581
84	0.8555500477	0.4015909578
85	0.8555913095	0.4015229011
86	0.855663705	0.4014015353
87	0.8558253759	0.4011413734
88	0.8558784535	0.4010607523
89	0.8558986155	0.401005103
90	0.8559173708	0.4009782776
91	0.8560812923	0.4008099963
92	0.8561780698	0.4006710957
93	0.8561790076	0.4006621859
94	0.8562363051	0.4005928637
95	0.8563805335	0.4003969248
96	0.8564302352	0.4003212621
97	0.8564893144	0.4002693273
98	0.8565453929	0.4001936403
99	0.8568236281	0.3998277329
100	0.8568570126	0.3997871408
101	0.856911403	0.3996989642
102	0.8569136537	0.3996755023
103	0.856934097	0.3996307631
104	0.8570271234	0.3995345579
105	0.8571570978	0.3994244795
106	0.8571985471	0.3993621545
107	0.8572472171	0.399241391
108	0.8573012325	0.3991617774
109	0.8574711557	0.3989761243
110	0.8574848471	0.39894602
111	0.8575277968	0.3988335976
112	0.8575906271	0.398726638
113	0.8576812154	0.3986295568
114	0.8578625794	0.3983810819
115	0.85791772	0.3983250688
116	0.8580917694	0.3981384828
117	0.858220431	0.3978687394
118	0.85831402	0.3977919522
119	0.8583989817	0.3977148997
120	0.8585011982	0.3975960061
121	0.8585490243	0.3975106914
122	0.8585602775	0.3974977617
123	0.8586660575	0.3973710816
124	0.8587725877	0.3972460236
125	0.8589321956	0.3970567314
126	0.8590447275	0.3969150038
127	0.8591105587	0.3968590638
128	0.8591930821	0.3967752114
129	0.8593448127	0.396553546
130	0.8594312748	0.3964329442
131	0.8595441818	0.3962695656
132	0.8596571827	0.3961695065
133	0.8597164495	0.396090024
134	0.8597209508	0.3960851309
135	0.8597158868	0.3960710648
136	0.859830857	0.3959686057
137	0.8599430138	0.3958611131
138	0.8599430138	0.395860449
139	0.8599456396	0.3958483646
140	0.8600339771	0.3957085764
141	0.8600825534	0.395559601
142	0.8601817691	0.3954793808
143	0.8602324085	0.3953642633
144	0.8604862618	0.3950728618
145	0.8604881374	0.3950723429
146	0.8605237725	0.3950102874
147	0.860581914	0.3949407677
148	0.8606092968	0.3948929999
149	0.860652434	0.3947598404
150	0.8607051365	0.3947161725
151	0.8607981629	0.3946296021
152	0.8608103538	0.3946190826
153	0.8609187596	0.3945131349
154	0.8611756138	0.3942208101
155	0.8612247528	0.394184924
156	0.861253636	0.394155691
157	0.8612999616	0.3940899674
158	0.8614071483	0.393990765
159	0.8616217092	0.3937429166
160	0.8617151107	0.3936596381
161	0.8617340536	0.3936220569
162	0.861837583	0.3934981857
163	0.8618765941	0.3934611413
164	0.8618737808	0.3934570729
165	0.8619234824	0.3933828267
166	0.8621671141	0.393089144
167	0.8621761166	0.3930816191
168	0.8623021524	0.392895733
169	0.8623601064	0.3928503122
170	0.86242575	0.3927667676
171	0.862540345	0.392629511
172	0.8626431242	0.3924877563
173	0.8626480006	0.3924775711
174	0.8626553152	0.3924233899
175	0.8627494669	0.3923301368
176	0.8628228002	0.3922678429
177	0.8628676255	0.3922294953
178	0.8628786911	0.3922207655
179	0.862962715	0.3921471467
180	0.8630077278	0.3921066636
181	0.8630232947	0.3919996394
182	0.8630778727	0.391927764
183	0.863301061	0.3917014201
184	0.863323755	0.3916910529
185	0.863369518	0.3916381299
186	0.8634113424	0.3915901028
187	0.863441726	0.3915688543
188	0.8634850508	0.3915115095
189	0.8635749826	0.3914262694
190	0.8636426893	0.3913415262
191	0.8636402511	0.3913385182
192	0.8637044881	0.3912756475
193	0.8637543773	0.3912022557
194	0.863785136	0.3911667128
195	0.8637806347	0.3911644981
196	0.8638318368	0.3911255365
197	0.863940055	0.3909994526
198	0.8639439936	0.3909763994
199	0.8640364574	0.3908591209
200	0.8642157583	0.390629224
201	0.8642348887	0.3905947257
202	0.8644230984	0.3903894561
203	0.8645823311	0.3902104856
204	0.8647301231	0.390058254
205	0.8649291171	0.3898266139
206	0.8649516235	0.3898002532
207	0.8649866959	0.3896838627
208	0.864988759	0.3896594176
209	0.8650277701	0.3896168032
210	0.8650382731	0.3895932711
211	0.8650557155	0.3895813605
212	0.8651286737	0.3895022211
213	0.8651418025	0.3894830316
214	0.8652794665	0.3893419238
215	0.8653248544	0.3892973832
216	0.8653316063	0.3892865082
217	0.8654261332	0.3891814197
218	0.8654497649	0.389154515
219	0.8656048714	0.3889658875
220	0.8656301911	0.3889465483
221	0.865647446	0.3889201431
222	0.8656936779	0.3888714139
223	0.8658917341	0.3886423211
224	0.8658997989	0.3886294563
225	0.865937122	0.3885953347
226	0.8659540018	0.3885406577
227	0.8660029532	0.3884903997
228	0.8660035159	0.3884731064
229	0.8661685627	0.3882848233
230	0.8662092618	0.388125165
231	0.8662328935	0.3881052975
232	0.8662383325	0.3880961175
233	0.8664093811	0.3878978735
234	0.866458145	0.3878255487
235	0.8664678977	0.3878132082
236	0.8664842149	0.3877959969
237	0.8665213504	0.3877624115
238	0.8665466701	0.3877437617
239	0.8665763035	0.3877135315
240	0.8666303188	0.3876388084
241	0.8666740188	0.3875971912
242	0.8666888355	0.38758173
243	0.8667055277	0.387565429
244	0.8667220324	0.3875290678
245	0.8667494152	0.3875053175
246	0.8668651355	0.3873360885
247	0.8669135243	0.3872925748
248	0.8669384688	0.3872558226
249	0.8669756044	0.3872273413
250	0.866997173	0.3871957377
251	0.8670264313	0.3871579099
252	0.867072757	0.3871174991
253	0.8671367126	0.3870499379
254	0.8671582813	0.3869225804
255	0.8671905404	0.3868638861
256	0.867196167	0.3868533042
257	0.8672469939	0.3868095377
258	0.8673497731	0.3866738344
259	0.8673677782	0.3866574807
260	0.8673915975	0.3866342743
261	0.8675403272	0.386472675
262	0.8676778038	0.3863435124
263	0.8677276929	0.3863136908
264	0.8677501993	0.3862686994
265	0.8678398498	0.3861761891
266	0.8679812649	0.3859913783
267	0.8681279316	0.3858206758
268	0.8681560646	0.3857835716
269	0.868164692	0.3857685305
270	0.8682053911	0.385736246
271	0.8682222709	0.3857074522
272	0.8683518702	0.3855689767
273	0.8684495854	0.3854127117
274	0.868518605	0.3853574294
275	0.8685763714	0.3852850256
276	0.8685902503	0.385274967
277	0.8686093808	0.3852510921
278	0.8686622708	0.3850968089
279	0.8687207874	0.3850462746
280	0.8687476075	0.3850236828
281	0.8688004975	0.3849845952
282	0.8688552631	0.3849349805
283	0.8688848965	0.3849008521
284	0.8688952119	0.3848753535
285	0.8688974626	0.3848709454
286	0.8689878632	0.3847501197
287	0.8690495683	0.38469058
288	0.8690943935	0.3846524973
289	0.8691302162	0.38459004
290	0.8692795086	0.3844296259
291	0.8693209578	0.3844006913
292	0.8693200201	0.3843884495
293	0.8693809749	0.3843398174
294	0.8693984173	0.3843200916
295	0.8693933534	0.3843116637
296	0.8694218615	0.3842733529
297	0.8694152971	0.3842676691
298	0.8695182638	0.3841719721
299	0.8695107617	0.3841481095
